Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Finite-Elemente-Methode,152,0,2,28,64,0,5,2,2,23,26
Naturwissenschaften,151,0,0,69,57,7,8,2,2,5,1
Nanostrukturiertes Material,148,0,0,1,105,0,16,0,2,14,10
Analysis,145,0,0,88,44,0,6,4,0,2,1
Thermodynamik,143,0,0,73,57,0,2,4,1,1,5
Partielle Differentialgleichung,141,0,0,6,94,0,34,1,0,1,5
Management,138,0,0,84,35,3,1,5,3,6,1
Datensicherung,137,0,0,36,44,4,43,3,1,2,4
Datenschutz,136,0,0,38,34,7,9,2,0,38,8
Dynamisches System,136,0,0,12,91,0,25,1,0,3,4
Philosophie,135,1,0,56,55,6,6,1,3,6,1
Internet der Dinge,134,0,1,13,96,0,21,0,0,2,1
Simulation,132,1,1,20,43,1,9,0,7,39,11
Kultur,131,0,0,72,29,14,4,2,1,7,2
Wirtschaft,131,0,54,26,37,3,2,0,3,5,1
Experiment,131,0,66,28,21,1,1,2,1,11,0
Kommunikation,127,0,0,69,25,5,1,2,1,23,1
MATLAB,126,0,0,27,90,0,0,2,2,4,1
Reform,126,0,0,55,29,8,4,1,3,23,3
Lineare Algebra,125,0,0,77,42,0,0,4,0,2,0
Architekturtheorie,125,0,0,35,69,5,3,0,2,9,2
Globalisierung,124,0,0,52,52,3,4,4,2,6,1
Online-Ressource,121,0,0,5,12,1,0,0,0,53,50
Projektmanagement,121,0,0,76,38,0,1,0,2,2,2
Kind,120,0,0,77,21,5,2,3,1,10,1
Systemtheorie,119,0,0,64,23,4,5,1,2,19,1
Nanotechnologie,117,0,0,5,76,1,19,1,2,9,4
Biotechnologie,117,0,0,20,70,2,8,2,4,5,6
Software Engineering,116,0,0,29,46,0,27,1,5,4,4
Neuronales Netz,116,0,0,13,57,0,21,1,2,10,12
Numerische Mathematik,116,0,0,34,54,0,22,2,2,1,1
Wirtschaftswissenschaften,116,0,86,13,15,0,0,1,0,0,1
Innenarchitektur,115,0,0,41,58,4,1,8,3,0,0
Krise,114,0,0,78,14,10,4,1,0,6,1
Java,114,0,0,50,56,0,3,3,2,0,0
Electronic Commerce,113,0,0,52,17,1,20,6,3,13,1
Politik,113,0,0,53,38,4,1,0,4,10,3
Kunst,113,0,0,42,35,17,9,0,1,7,2
Technik,113,1,1,61,31,5,5,3,1,5,0
Rechnernetz,112,0,0,38,45,1,19,2,5,2,0
Auswirkung,112,0,0,65,26,9,2,2,0,6,2
Chemie,111,0,0,59,42,0,1,4,2,2,1
Aufsatzsammlung,111,0,0,24,71,3,7,3,3,0,0
Sozialwissenschaften,109,0,0,46,55,1,4,1,1,1,0
Klimaschutz,109,0,0,62,17,4,0,7,1,15,3
Jugend,107,0,0,72,9,4,0,5,1,16,0
Lebensmittel,105,0,0,38,48,2,2,5,3,4,3
Mustererkennung,104,0,0,5,37,0,52,0,2,2,6
Design,103,0,0,34,47,10,3,1,2,6,0
Stochastischer Prozess,102,0,0,8,65,0,19,0,4,3,3
Nanostruktur,102,0,0,1,61,0,7,0,6,11,16
Deep learning,102,0,0,6,54,0,31,1,1,7,2
Bautechnik,101,0,0,83,12,2,3,1,0,0,0
Datenverarbeitung,100,0,20,12,45,2,11,3,0,2,5
Nanopartikel,100,0,0,2,37,0,6,1,3,21,30
Bekämpfung,99,0,0,46,20,3,3,1,2,21,3
World Wide Web,99,0,0,24,28,0,37,4,1,3,2
Umweltpolitik,99,0,7,26,45,2,6,1,4,3,5
Öffentlicher Raum,98,0,0,33,45,4,4,0,0,12,0
Soziologie,96,0,0,47,31,4,0,1,2,9,2
Demokratie,95,0,0,58,19,7,2,1,0,6,2
Recht,95,0,0,47,17,10,5,2,0,11,3
Mathematische Physik,95,0,0,10,66,0,16,2,1,0,0
Integration,94,0,0,45,28,4,0,1,1,13,2
Verteiltes System,94,0,1,11,24,1,47,1,3,4,2
Polymere,94,0,0,4,60,0,4,0,6,7,13
Maschinelles Sehen,93,0,0,0,42,2,38,0,0,10,1
Werkstoffkunde,92,0,0,52,34,0,1,3,1,1,0
Bioinformatik,92,0,0,11,48,0,14,1,4,3,11
Ökologie,90,0,0,44,35,3,2,0,3,1,2
Netzwerk,90,0,0,25,33,3,3,1,3,13,9
Tourismus,90,0,0,40,31,3,3,3,3,2,5
Literatur,89,0,0,27,41,7,4,0,0,7,3
Raum,89,0,0,28,33,7,6,1,0,11,3
Visualisierung,88,0,0,21,44,0,8,3,1,8,3
Methodologie,87,0,66,4,14,0,0,0,2,0,1
Wirtschaftspolitik,87,0,41,16,17,2,1,0,4,3,3
Recycling,87,0,0,20,47,5,3,2,3,4,3
Elementarteilchenphysik,87,0,0,23,41,0,19,3,0,0,1
Signalverarbeitung,87,0,0,5,48,0,25,0,2,6,1
Kunststoff,86,0,0,34,41,1,1,1,1,4,3
Graphentheorie,86,0,0,13,43,0,19,1,3,6,1
Robotik,85,0,0,12,41,5,18,1,1,6,1
Geometrie,85,0,0,26,39,2,13,2,0,1,2
JavaScript,84,0,0,14,69,0,0,1,0,0,0
Sozialer Wandel,84,0,0,50,20,5,2,0,3,2,2
Virtuelle Realität,84,0,0,19,26,1,17,0,2,16,3
Zeit,84,0,0,39,29,4,3,0,2,6,1
Energiepolitik,84,0,0,47,25,1,1,1,0,6,3
Landeskunde,83,0,0,74,4,0,0,5,0,0,0
Schule,82,0,0,56,10,4,0,1,1,8,2
Rezeption,82,0,0,17,35,12,5,0,1,10,2
Mehragentensystem,82,0,0,4,16,0,51,0,2,6,3
Wahrscheinlichkeitsrechnung,81,0,0,44,27,0,7,2,1,0,0
Lehrbuch,81,0,0,54,25,0,0,2,0,0,0
Umweltbelastung,81,0,7,19,37,1,5,2,1,6,3
Ethik,80,0,0,33,28,9,1,0,2,7,0
Umweltverträglichkeit,80,0,0,40,26,6,0,2,3,3,0
Regionalentwicklung,80,0,0,30,36,7,2,0,1,3,1
Risikomanagement,79,0,0,28,32,0,1,1,1,11,5
Anwendung,79,0,0,16,45,0,11,2,3,1,1
Regionalplanung,79,0,0,25,25,12,4,4,3,3,3
Gartengestaltung,79,0,0,59,12,1,1,5,1,0,0
Eingebettetes System,79,0,1,8,31,2,18,3,3,8,5
Alltag,79,0,0,46,7,2,0,7,0,17,0
Forschung,79,0,0,29,32,5,3,1,2,7,0
Informationssystem,79,0,0,7,23,2,30,2,2,11,2
Raumordnung,79,0,0,29,25,13,0,3,0,6,3
Wahrscheinlichkeitstheorie,79,0,0,18,46,0,14,0,0,0,1
Theorie,78,0,18,27,22,3,1,0,0,6,1
Fernerkundung,78,0,0,1,46,2,6,0,1,7,15
Technische Mechanik,78,0,0,70,6,0,2,0,0,0,0
Projekt,78,0,0,56,6,6,1,0,2,6,1
Quantenphysik,77,0,0,13,58,1,4,1,0,0,0
Kosmologie,77,0,0,18,40,2,13,0,1,2,1
Information Retrieval,77,0,0,6,14,1,44,0,2,7,3
World Wide Web 2.0,77,0,0,45,15,1,2,3,2,7,2
Biodiversität,76,0,0,18,27,1,4,1,0,5,20
Wirtschaftsentwicklung,76,0,0,31,37,3,2,1,1,0,1
Hochschule,76,0,0,38,13,5,0,0,0,18,2
Verbundwerkstoff,76,0,0,3,52,0,5,0,4,7,5
Mathematikunterricht,76,0,0,49,5,1,0,1,1,19,0
Mobile Computing,75,0,0,7,41,0,19,0,4,0,4
Vielfalt,75,0,0,47,14,4,2,0,0,5,3
Innovationsmanagement,74,0,0,42,17,6,0,1,0,6,2
Elektrotechnik,73,0,0,55,12,0,3,2,0,1,0
Computerspiel,73,0,0,16,47,2,1,2,0,4,1
Geschichte,73,0,0,35,24,3,2,4,0,5,0
Migration,73,0,0,29,18,5,3,0,0,13,5
Bildgebendes Verfahren,73,0,0,1,38,3,13,0,0,8,10
Prozessmanagement,72,0,0,42,10,1,6,2,0,10,1
App,72,0,0,19,45,0,0,2,0,6,0
C++,72,0,0,36,32,0,0,4,0,0,0
Biologie,72,0,0,33,30,0,4,0,2,3,0
Kreditmarkt,72,0,54,5,9,0,1,0,0,3,0
Zahlentheorie,72,0,0,19,40,0,9,1,2,1,0
Komplexes System,72,0,0,9,40,1,12,0,0,6,4
Soft Computing,71,0,0,7,35,0,24,0,5,0,0
Marketing,71,0,0,45,14,2,0,4,1,5,0
Massenmedien,71,0,0,32,18,3,0,2,1,15,0
Abwasserreinigung,70,0,0,5,44,2,1,0,8,5,5
Halbleiter,70,0,0,2,49,0,2,0,0,10,7
Geschäftsmodell,70,0,0,49,6,1,1,2,0,11,0
Deutsch,70,0,0,46,2,3,1,2,0,14,2
Wissenschaft,70,0,0,31,23,4,5,0,0,5,2
Soziale Software,70,0,0,41,19,1,3,3,1,2,0
Technische Innovation,70,0,0,7,53,1,2,1,2,3,1
Technischer Fortschritt,70,0,0,29,32,2,1,2,0,3,1
Geologie,70,0,0,28,27,3,7,3,0,0,2
Quantenfeldtheorie,69,0,0,5,52,0,6,0,0,1,5
Zeitreihenanalyse,69,0,0,13,39,0,4,0,0,5,8
Strategisches Management,69,0,0,43,12,5,0,0,0,9,0
Differentialgleichung,68,0,0,16,36,0,14,0,0,2,0
Wirtschaftsforschung,68,0,66,1,1,0,0,0,0,0,0
Biografie,68,0,0,44,14,2,1,1,1,4,1
Benutzerfreundlichkeit,68,0,1,23,17,0,17,1,2,5,2
Numerische Strömungssimulation,67,0,0,6,24,0,5,0,3,23,6
Algebra,67,0,0,37,15,0,12,2,0,1,0
Mobilfunk,67,0,0,10,36,0,10,1,0,10,0
Smart City,67,0,0,12,44,0,10,1,0,0,0
Webdesign,67,0,0,25,39,0,0,2,0,1,0
Regulierung,67,0,0,14,20,3,5,0,0,20,5
Wasserversorgung,67,0,0,21,38,0,2,3,1,2,0
Industrie 4.0,66,0,0,41,13,3,5,0,0,3,1
Verstädterung,66,0,0,8,40,2,2,0,5,2,7
Gewöhnliche Differentialgleichung,66,0,0,19,39,0,3,1,0,2,2
Naturschutz,66,0,0,31,22,5,0,0,1,1,6
Natur,66,0,0,38,14,3,1,0,0,9,1
Mobile Telekommunikation,66,0,0,21,31,2,5,0,3,4,0
Experimentelle Wirtschaftsforschung,66,0,66,0,0,0,0,0,0,0,0
Differentialgeometrie,65,0,0,8,37,0,15,0,1,1,3
Mechanik,65,0,0,27,36,0,0,1,1,0,0
Wohnungsbau,65,0,0,22,28,1,1,2,0,11,0
Multimedia,65,0,0,4,23,1,27,1,2,4,3
Soziales Netzwerk,64,0,0,24,23,3,1,1,2,8,2
Denkmalpflege,64,1,0,28,15,7,2,1,0,10,0
Astronomie,64,0,0,22,36,0,1,1,3,1,0
Wandel,64,0,0,41,6,3,5,1,1,6,1
Datenbanksystem,64,0,0,9,19,0,28,2,0,4,2
Wirtschaftsinformatik,64,0,30,12,19,0,0,0,1,2,0
Gebäude,64,0,0,18,37,1,0,3,0,2,3
Energiebewusstes Bauen,63,0,0,23,29,0,3,7,0,0,1
Algebraische Geometrie,63,0,0,3,34,0,21,0,2,3,0
Ökonometrie,63,0,48,1,11,0,0,0,1,0,2
Quantenmechanisches System,63,0,0,1,39,0,5,0,2,4,12
Produktentwicklung,63,0,0,32,11,3,1,1,0,12,3
Automation,63,0,0,21,18,2,7,1,0,10,4
Bauökologie,63,0,0,18,37,2,4,2,0,0,0
Verbraucherverhalten,63,0,0,33,13,1,1,3,0,12,0
Quantentheorie,63,0,0,11,47,0,2,0,1,0,2
Astrophysik,63,0,0,7,34,0,16,2,1,2,1
Laser,63,0,0,14,33,0,2,1,0,3,10
Qualitätsmanagement,62,0,0,34,11,1,3,0,0,8,5
Stadtgestaltung,62,0,0,15,38,3,1,0,2,2,1
Mathematische Modellierung,62,0,0,10,38,0,6,1,2,5,0
Arbeitswelt,62,0,0,42,10,3,1,2,1,3,0
Informationsmanagement,62,0,0,28,11,0,7,2,0,10,4
Benutzeroberfläche,62,0,0,11,19,0,25,2,0,3,2
CAD,62,0,0,15,31,1,9,0,0,4,2
Berechnung,61,0,0,42,14,0,0,1,0,3,1
Risikoanalyse,61,0,0,22,26,0,1,1,3,5,3
Prognose,61,0,18,16,20,0,0,0,0,2,5
Maschinenbau,61,0,0,50,5,1,1,1,0,3,0
Messung,61,0,0,12,28,1,1,1,1,12,5
Biochemie,61,0,0,33,22,0,0,1,2,2,1
Mechatronik,61,0,0,23,18,0,4,2,2,9,3
E-Learning,61,0,0,22,12,5,11,1,1,5,4
Sicherheit,60,0,0,18,21,3,6,1,2,6,3
Baustoff,60,0,0,23,22,2,10,0,0,2,1
Silicium,60,0,0,2,16,0,1,0,2,20,19
Entstehung,60,0,0,28,12,3,0,1,1,10,5
Medien,60,0,0,40,8,1,1,2,1,7,0
Umwelt,60,0,5,23,23,3,2,0,2,2,0
Funktionalanalysis,60,0,0,9,34,0,16,1,0,0,0
Umweltbezogenes Management,60,0,0,28,20,0,0,2,0,8,2
Regelungstechnik,60,0,0,42,11,1,3,0,0,3,0
Englisch,60,0,0,27,25,1,0,1,0,0,6
Digitale Revolution,60,0,0,38,14,5,0,0,0,2,1
Technologie,59,0,0,15,38,0,1,1,1,3,0
Bewertung,59,0,5,21,14,0,3,1,3,11,1
Mensch,58,0,0,41,9,1,1,0,1,3,2
Gesundheitswesen,58,0,0,20,23,4,3,0,2,4,2
Tod,58,0,0,38,7,3,3,2,0,3,2
Stadtsoziologie,58,0,0,23,25,3,3,1,1,2,0
Programmiersprache,58,0,0,12,35,0,8,2,1,0,0
Bibliothek,58,0,0,29,15,2,4,2,0,6,0
Kongress,58,0,0,4,6,3,44,0,1,0,0
Stoffeigenschaft,58,0,0,12,37,0,2,0,1,5,1
Großstadt,57,0,0,20,18,5,2,1,1,8,2
Gruppentheorie,57,0,0,8,37,0,11,0,0,0,1
Stadtökologie,57,0,0,12,40,2,2,0,1,0,0
Stochastik,57,0,0,32,15,0,2,5,0,0,3
Haus,57,0,0,22,27,0,1,2,2,3,0
Islam,57,0,0,29,14,6,0,0,2,6,0
Kombinatorik,56,0,0,9,27,0,19,0,1,0,0
Kraftfahrzeugtechnik,56,0,0,38,7,6,4,0,0,0,1
Allgemeine Relativitätstheorie,56,0,0,7,40,0,5,0,0,1,3
Staat,56,0,0,20,17,6,0,2,2,7,2
Theoretische Informatik,56,0,0,9,7,0,36,1,2,1,0
Data Science,56,0,0,10,28,1,16,0,0,1,0
Frau,56,0,0,25,16,2,3,4,2,3,1
Ästhetik,56,0,0,19,16,3,3,0,1,13,1
Zeitschrift,55,0,54,0,1,0,0,0,0,0,0
Solarzelle,55,0,0,5,19,0,1,0,1,17,12
Verkehrsplanung,55,0,0,26,13,4,1,2,1,5,3
Religion,55,0,0,25,19,3,3,1,0,4,0
Monte-Carlo-Simulation,55,0,0,2,29,0,4,0,0,2,18
Bauentwurf,54,0,0,24,20,3,3,1,0,2,1
Transformation,54,0,0,19,5,4,2,1,0,20,3
Funktionentheorie,54,0,0,17,23,0,10,1,1,1,1
Energieeffizienz,54,0,0,28,11,2,0,4,0,7,2
Controlling,53,0,0,40,0,1,0,2,0,10,0
Stabilität,53,0,0,6,26,0,3,0,0,10,8
Entscheidungsfindung,53,0,0,11,18,0,12,1,2,4,5
Softwarearchitektur,53,0,0,27,10,0,7,0,0,7,2
Umweltökonomie,52,0,12,9,25,1,2,1,0,1,1
Turbulente Strömung,52,0,0,1,23,0,13,1,1,7,6
Kollektives Gedächtnis,52,0,0,16,17,10,1,1,0,6,1
Baukonstruktion,52,0,0,26,22,1,1,1,0,1,0
Computergrafik,52,0,0,9,29,0,10,2,0,0,2
Kontroverse,52,0,0,27,6,6,0,2,0,11,0
Regressionsanalyse,52,0,0,16,30,0,0,1,0,0,5
Geoinformationssystem,52,0,0,3,38,1,6,0,0,3,1
Verfahrenstechnik,52,0,0,26,22,0,0,1,1,0,2
Wissensmanagement,52,0,0,17,18,0,6,1,2,5,3
Soziale Ungleichheit,52,0,0,29,9,4,1,1,0,7,1
LINUX,52,0,0,27,20,1,0,3,1,0,0
Harmonische Analyse,52,0,0,2,42,0,8,0,0,0,0
Brennstoffzelle,51,0,0,9,30,0,2,3,0,3,4
Einführung,51,0,0,37,8,0,0,5,0,1,0
Datenbankverwaltung,51,0,0,1,44,0,4,0,0,2,0
Photonik,51,0,0,3,31,0,5,0,1,2,9
Funknetz,51,0,0,2,42,0,4,0,0,2,1
Relativitätstheorie,51,0,0,16,27,0,3,1,2,1,1
Bildung,51,0,0,29,9,2,1,1,0,8,1
EXCEL,51,0,0,32,18,0,0,1,0,0,0
Autonomes Fahrzeug,51,0,0,5,19,3,6,1,0,12,5
Semantic Web,51,0,0,4,23,0,13,0,4,3,4
Landwirtschaft,51,0,0,12,25,1,6,1,2,1,3
Pflanzen,51,0,0,15,25,0,1,0,0,2,8
Armut,51,0,0,23,13,0,1,3,2,6,3
Architekt,50,0,0,9,33,2,1,0,0,4,1
Mobilität,50,0,0,22,14,4,3,0,0,5,2
Kraftfahrzeugindustrie,50,0,0,25,8,4,0,1,0,8,4
Klima,50,0,0,29,12,1,0,2,0,3,3
Software,50,0,0,9,17,0,10,1,6,3,4
Urbanität,50,0,0,19,18,5,1,0,0,7,0
Psychologie,50,0,0,28,16,4,0,1,0,1,0
Wirtschaftswachstum,50,0,0,9,32,1,2,0,0,3,3
Quanteninformatik,50,0,0,1,32,0,2,0,0,3,12
Multivariate Analyse,50,0,0,12,31,0,2,1,0,2,2
Selbstorganisation,50,0,0,13,14,0,0,0,0,11,12
Evolution,50,0,0,25,15,0,1,1,1,3,4
Wissenschaftliches Rechnen,49,0,0,9,22,0,17,0,1,0,0
Objektorientierte Programmierung,49,0,0,13,19,0,14,2,1,0,0
Interaktion,49,0,0,11,15,0,0,2,1,16,4
Computerunterstütztes Lernen,49,0,0,22,12,2,5,1,2,5,0
Prognoseverfahren,49,0,35,6,3,0,0,1,0,2,2
Stadtsanierung,49,0,0,13,27,2,0,1,2,2,2
Entwurf,49,0,0,9,28,1,3,0,2,5,1
Lebensmitteltechnologie,49,0,0,7,38,0,2,0,1,0,1
Lebensmittelverarbeitung,48,0,0,3,42,0,2,0,1,0,0
Analyse,48,0,0,21,16,0,0,1,1,7,2
Topologie,48,0,0,8,26,0,12,0,0,0,2
Spektroskopie,48,0,0,4,32,0,1,0,1,4,6
Online-Marketing,48,0,0,34,9,0,0,2,0,3,0
Randwertproblem,48,0,0,2,37,0,5,0,0,0,4
Werkstoff,48,0,0,9,33,1,2,1,2,0,0
Kraftfahrzeug,48,0,0,25,9,2,0,2,0,9,1
Fotovoltaik,48,0,0,12,12,0,1,1,3,12,7
Bemessung,47,0,0,29,11,0,0,2,0,3,2
Katalyse,47,0,0,2,20,0,3,0,0,12,10
Logistik,47,0,0,25,12,0,0,1,1,7,1
Katalysator,47,0,0,1,9,0,3,0,1,13,20
Planung,47,0,0,24,11,4,0,2,3,3,0
Sprachverarbeitung,47,0,0,3,29,0,9,0,2,2,2
Theoretische Physik,47,0,0,21,19,0,4,1,1,1,0
Biomedizinische Technik,47,0,0,0,39,0,5,0,2,0,1
Bürgerbeteiligung,47,0,0,19,15,1,3,0,0,8,1
Effizienz,47,0,0,11,17,1,1,0,1,13,3
Landschaftsarchitektur,47,0,0,3,41,0,2,0,0,0,1
Baudenkmal,46,0,0,23,11,6,2,1,1,2,0
Parallelverarbeitung,46,0,1,4,12,0,25,0,1,1,2
Optik,46,0,0,12,32,0,0,1,0,1,0
Bauleistung,46,0,0,46,0,0,0,0,0,0,0
Computer,46,0,0,16,22,1,0,1,0,6,0
Technikbewertung,46,0,0,18,13,2,2,3,5,2,1
Medizin,46,0,0,10,14,4,11,0,1,5,1
Angewandte Mathematik,46,0,0,12,28,0,5,1,0,0,0
Computerunterstütztes Verfahren,46,0,0,13,19,0,6,2,0,6,0
Strukturwandel,46,0,0,25,10,6,0,0,1,3,1
Wechselwirkung,46,0,0,3,28,0,2,0,0,7,6
Gestaltung,46,0,0,25,12,3,2,2,1,1,0
Unsicherheit,45,0,9,5,21,2,3,0,0,2,3
Wirkungsanalyse,45,0,11,19,2,1,1,0,1,8,2
Mikrobiologie,45,0,0,18,24,0,1,0,0,2,0
Hochleistungsrechnen,45,0,0,2,14,0,21,0,4,4,0
Kontrolltheorie,45,0,0,0,30,0,13,0,1,1,0
Umwelttechnik,45,0,0,8,30,2,2,2,1,0,0
Empirische Sozialforschung,45,0,0,29,10,2,0,2,1,1,0
Erweiterte Realität,45,0,0,12,12,0,10,0,5,5,1
Ländlicher Raum,45,0,0,25,9,3,0,0,0,7,1
Blockchain,45,0,0,4,27,0,9,1,0,4,0
Festigkeitslehre,45,0,0,39,6,0,0,0,0,0,0
Open Source,45,0,0,11,27,0,2,1,0,1,3
Biokraftstoff,45,0,0,2,34,0,2,2,1,3,1
Computerunterstützte Kommunikation,44,0,0,13,20,0,4,1,0,4,2
Quantenoptik,44,0,0,2,31,0,2,0,1,1,7
Rechtsvergleich,44,0,0,5,4,2,0,0,0,22,11
Sozioökonomischer Wandel,44,0,0,28,8,5,2,1,0,0,0
Gartenkunst,44,0,0,22,11,9,0,0,0,2,0
Nationalsozialismus,44,0,0,20,8,7,0,1,0,7,1
Kritik,44,0,0,33,4,0,0,2,1,2,2
Serviceorientierte Architektur,44,0,0,9,19,1,4,0,0,8,3
Energietechnik,44,0,0,25,11,0,1,2,0,4,1
Datenstruktur,44,0,0,19,12,0,12,0,0,1,0
Datenauswertung,44,0,0,9,27,0,2,0,0,4,2
Qualitätssicherung,44,0,0,17,10,0,3,3,1,9,1
Stochastisches Modell,44,0,0,6,27,0,5,0,0,1,5
COVID-19,44,0,0,30,7,2,2,0,0,3,0
Konstruktion,44,0,0,22,15,1,0,0,0,5,1
Mathematische Methode,43,0,0,5,32,0,4,2,0,0,0
Umweltbewusstsein,43,0,0,21,13,0,0,4,0,5,0
Statistische Physik,43,0,0,7,33,0,2,0,1,0,0
Roboter,43,0,0,8,24,2,5,0,0,4,0
Kooperation,43,0,0,16,7,2,0,2,0,15,1
Dynamik,43,0,0,14,19,0,2,0,1,4,3
Soziale Integration,43,0,0,21,5,3,1,1,0,12,0
Darstellungstheorie,43,0,0,0,27,0,8,0,0,5,3
Diskrete Mathematik,43,0,0,14,21,0,7,0,0,0,1
Sozialarbeit,43,0,0,27,2,4,1,2,0,7,0
Pädagogik,42,0,0,22,11,2,0,1,0,5,1
Landschaftsplanung,42,0,0,17,17,1,2,0,0,2,3
Geografie,42,0,0,18,18,1,0,2,0,1,2
Wasserverschmutzung,42,0,0,4,30,0,1,0,2,5,0
Pandemie,42,0,0,28,8,2,2,0,0,2,0
Android,42,0,0,8,32,0,0,2,0,0,0
C,42,0,0,16,22,0,0,2,1,0,1
Förderung,42,0,0,24,5,1,0,0,0,12,0
NMR-Spektroskopie,42,0,0,0,26,0,2,0,2,7,5
Herstellung,42,0,0,7,28,0,0,0,0,6,1
Sexualität,42,0,0,18,17,1,0,0,1,4,1
Qualität,42,0,0,20,6,4,0,2,0,8,2
Operations Research,42,0,0,10,17,0,8,0,5,2,0
Elektrofahrzeug,42,0,0,16,12,1,0,3,1,9,0
Ingenieurwissenschaften,42,0,0,18,18,2,2,2,0,0,0
Nanokomposit,42,0,0,0,31,0,0,0,2,3,6
Molekularbiologie,42,0,0,13,20,0,1,1,4,2,1
Rapid Prototyping,42,0,0,9,17,4,1,1,0,6,4
Wahrnehmung,41,0,0,24,7,1,0,1,0,5,3
Kapitalismus,41,0,0,27,8,0,0,0,1,4,1
Wärmeübertragung,41,0,0,17,17,0,1,0,1,4,1
Biomaterial,41,0,0,2,33,0,2,0,2,1,1
Bevölkerungsentwicklung,41,0,0,25,5,3,1,1,0,6,0
Operatortheorie,41,0,0,1,29,0,11,0,0,0,0
Werkstoffprüfung,41,0,0,21,11,1,2,1,2,3,0
Web Services,41,0,0,5,16,0,16,0,0,1,3
Agent,41,0,0,6,9,1,18,0,4,2,1
Kommunalpolitik,41,0,0,17,19,2,2,0,0,1,0
Ubiquitous Computing,41,0,0,5,22,0,10,0,1,3,0
Diskurs,41,0,0,20,4,1,0,0,0,15,1
Wissensextraktion,41,0,0,1,10,0,25,0,1,1,3
Symbol,41,0,0,32,2,0,0,0,0,5,2
LHC,41,0,0,5,16,0,3,1,0,3,13
Mikrosystemtechnik,41,0,0,5,12,0,3,0,5,16,0
Industriedesign,40,0,0,17,15,5,0,2,0,1,0
Gewalttätigkeit,40,0,0,31,4,2,0,0,1,2,0
Heterogenität,40,0,0,15,6,4,0,0,1,9,5
Energieversorgung,40,0,0,23,9,2,0,3,0,3,0
Heizung,40,0,0,32,4,0,0,4,0,0,0
Moderne,40,0,0,18,12,3,2,0,1,4,0
Festkörperphysik,40,0,0,13,24,0,1,0,2,0,0
