Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Numerische Mathematik,95,0,0,21,46,0,26,0,1,0,1
Pandemie,95,0,0,65,23,2,2,0,0,3,0
Maschinelles Sehen,94,0,0,1,36,1,45,0,1,9,1
World Wide Web,94,0,0,29,21,0,35,2,2,2,3
Macht,93,0,0,46,21,7,3,1,1,11,3
Mitarbeiter,93,0,0,56,9,2,1,2,0,22,1
Politische Beteiligung,93,0,0,31,27,4,3,2,1,20,5
Bautechnik,93,0,0,76,11,2,2,1,1,0,0
Verteiltes System,93,0,1,6,23,1,55,0,3,1,3
Eltern,93,0,0,77,4,0,1,1,0,10,0
Sozialisation,93,0,0,68,4,6,0,1,0,12,2
Agrarpolitik,92,0,38,11,30,3,4,0,2,4,0
Netzwerk,92,0,0,29,31,3,5,2,2,11,9
Künste,92,0,0,32,27,22,5,2,0,2,2
Wahrnehmung,92,0,0,52,13,3,1,1,0,17,5
Journalismus,92,0,0,57,10,2,0,0,0,22,1
Stochastischer Prozess,92,0,0,7,64,0,10,0,5,2,4
Graphentheorie,91,0,0,13,48,0,19,1,3,6,1
Eingebettetes System,91,0,1,9,36,2,23,0,1,12,7
Mustererkennung,91,0,0,6,30,0,46,0,3,3,3
Online-Marketing,91,0,0,59,20,0,0,3,0,9,0
Wirtschaftsethik,90,0,0,44,20,14,2,1,1,6,2
Signalverarbeitung,90,0,1,10,51,0,19,2,4,2,1
Politische Wissenschaft,90,0,0,55,23,1,1,2,2,5,1
Öffentlichkeitsarbeit,90,0,0,62,9,1,0,1,0,16,1
Sonderpädagogik,90,0,0,66,6,5,0,2,0,10,1
Nationalismus,90,0,0,30,43,2,4,0,2,6,3
Virtuelle Realität,89,0,0,21,32,1,14,2,1,14,4
Chancengleichheit,89,0,0,48,12,5,2,1,0,19,2
Qualitative Sozialforschung,89,0,0,57,21,4,1,1,0,4,1
Unternehmenskultur,89,0,0,59,11,4,1,0,1,13,0
Technische Innovation,89,0,0,15,64,0,3,1,1,4,1
Musik,89,0,1,38,24,6,10,0,1,8,1
Datenverarbeitung,89,0,18,9,45,2,9,2,0,1,3
Migrationshintergrund,88,0,0,54,4,4,0,2,0,22,2
COVID-19,88,0,0,54,26,3,3,0,0,2,0
Arbeitsrecht,88,0,0,58,7,5,0,0,0,16,2
Fachdidaktik,88,0,0,67,3,5,0,3,0,9,1
Organisationsentwicklung,88,0,0,75,5,2,0,0,0,6,0
Welthandel,88,0,29,8,39,0,6,0,2,4,0
Bioinformatik,88,0,0,10,44,0,18,0,4,4,8
Arbeitsbedingungen,88,0,0,41,14,2,4,4,3,18,2
Nationalbewusstsein,88,0,0,23,40,2,3,0,5,14,1
Politische Kommunikation,88,0,0,37,15,3,1,2,0,27,3
Ausbildung,88,0,35,22,20,3,1,1,1,5,0
Kostenrechnung,87,0,0,73,3,2,0,4,0,5,0
Denkmalpflege,87,1,0,41,14,15,3,2,0,10,1
Demokratisierung,87,0,0,32,26,6,2,0,0,17,4
Theater,87,0,0,35,22,13,2,2,2,9,2
Geometrie,87,0,0,22,43,2,15,2,0,2,1
Sekundarstufe,87,0,0,68,6,1,0,3,0,8,1
Schulentwicklung,87,0,0,59,6,7,0,2,0,12,1
Robotik,87,0,0,15,40,4,16,1,2,8,1
Kosmologie,87,0,0,16,48,1,14,0,1,2,5
Sklaverei,87,0,0,19,55,0,2,0,4,0,7
World Wide Web 2.0,87,0,0,47,19,2,2,5,5,5,2
Einwanderung,87,0,0,36,26,13,2,1,1,7,1
Ökologie,86,0,0,43,32,4,0,1,3,1,2
Werkstoffkunde,86,0,0,50,25,1,3,5,1,1,0
Bildungswesen,86,0,0,50,24,4,0,2,0,4,2
Ländlicher Raum,86,0,0,44,19,7,2,1,1,9,3
Organisationswandel,85,0,0,49,19,0,3,1,0,13,0
Elementarteilchenphysik,85,0,0,22,46,1,14,1,0,1,0
Zeit,85,0,0,38,30,2,6,0,0,8,1
Forschungsmethode,84,0,0,40,38,2,1,0,1,2,0
Wasserversorgung,84,0,0,18,56,1,4,2,0,1,2
Umweltbelastung,83,0,6,19,40,2,5,1,2,4,4
Postkolonialismus,83,0,0,26,41,1,4,0,1,7,3
Literaturwissenschaft,83,0,0,44,19,7,6,2,1,3,1
Wissenschaftliches Manuskript,83,0,0,64,11,0,0,7,0,1,0
Körper,83,0,0,40,20,5,2,0,1,14,1
Didaktik,83,0,0,62,9,3,0,3,0,6,0
Deutsche,82,0,0,51,7,4,0,3,1,15,1
Bank,82,0,0,41,12,4,0,0,1,21,3
Sozialpädagogik,82,0,0,71,0,0,0,2,0,9,0
Kunststoff,82,0,0,28,43,0,2,0,1,5,3
Spanisch,82,0,0,16,50,1,4,1,2,5,3
Recycling,82,0,0,22,46,2,2,0,3,6,1
Umfrage,82,0,0,53,6,0,0,1,2,19,1
Gartengestaltung,82,0,0,55,19,1,0,5,2,0,0
Geldtheorie,82,0,59,4,16,0,0,0,0,2,1
Wahrscheinlichkeitsrechnung,82,0,0,38,30,0,12,2,0,0,0
Öffentlichkeit,81,0,0,33,16,11,3,0,1,17,0
Universität,81,0,0,34,20,6,3,1,2,15,0
Technische Mechanik,81,0,0,67,6,0,7,0,0,0,1
Drama,81,0,0,29,26,4,3,2,0,13,4
Sport,80,0,0,47,10,6,2,3,1,6,5
Mehragentensystem,80,0,0,5,11,0,54,0,1,4,5
Internationalisierung,80,0,0,36,18,4,6,0,0,16,0
Landeskunde,80,0,0,70,2,0,0,7,1,0,0
Professionalisierung,80,0,0,40,0,6,0,1,0,32,1
Bewertung,80,0,2,34,15,0,3,3,3,18,2
Behinderung,80,0,0,40,17,4,2,0,0,16,1
Urheberrecht,80,0,0,17,12,5,0,0,0,37,9
Wahrscheinlichkeitstheorie,79,0,0,18,43,0,16,1,0,0,1
Prognose,79,0,22,20,23,1,1,0,0,8,4
Konfliktregelung,79,0,0,44,19,2,0,4,1,6,3
Coaching,79,0,0,72,1,0,0,0,0,6,0
Multimedia,79,0,0,11,37,2,21,1,3,2,2
Diskriminierung,78,0,0,39,20,2,0,1,0,16,0
Ost-West-Konflikt,78,0,0,22,33,5,4,0,1,12,1
Erkenntnistheorie,78,0,0,34,26,1,1,1,0,15,0
Wettbewerb,77,0,0,24,25,2,5,0,0,19,2
Umwelt,77,0,2,29,35,4,4,0,1,2,0
Regionalplanung,77,0,0,26,27,7,6,3,3,2,3
Pflanzen,77,0,0,27,37,0,1,0,1,1,10
Psychische Störung,77,0,0,58,11,0,1,3,1,3,0
Vielfalt,77,0,0,44,17,7,0,1,0,7,1
Soziale Gerechtigkeit,76,0,0,37,23,5,1,1,1,6,2
Partizipation,76,0,0,34,17,0,4,2,0,16,3
Ethnologie,76,0,0,34,31,1,2,0,1,7,0
Differentialgeometrie,76,0,0,13,45,0,12,0,1,0,5
Gesundheitsökonomie,76,0,32,15,17,4,1,1,0,5,1
Volkswirtschaftslehre,76,0,0,54,17,2,1,1,0,1,0
Bewältigung,76,0,0,54,4,3,0,1,0,11,3
Blockchain,76,0,0,10,41,0,12,1,3,8,1
Geologie,76,0,0,31,28,2,8,2,1,1,3
JavaScript,75,0,0,17,57,0,0,0,0,1,0
Biodiversität,75,0,0,17,31,1,5,2,0,7,12
Soziale Bewegung,75,0,0,25,27,2,0,1,3,15,2
Sexualverhalten,75,0,0,50,12,4,0,3,0,6,0
Geschichtsunterricht,75,0,0,52,4,6,0,2,1,10,0
Tourismus,75,0,0,31,29,4,2,1,2,1,5
Mann,75,0,0,44,16,1,0,3,2,8,1
Ethnische Identität,75,0,0,10,44,2,4,0,6,4,5
Algebra,74,0,0,40,17,0,13,3,0,1,0
Kundenorientierung,74,0,0,52,1,3,0,2,0,15,1
Biologie,74,0,0,44,27,0,2,1,0,0,0
Lebenslanges Lernen,74,0,0,37,14,3,1,7,1,11,0
Gesundheit,74,0,0,30,24,1,2,2,1,12,2
Natur,74,0,0,38,25,3,2,0,0,6,0
Messung,74,0,0,19,30,1,2,0,1,15,6
Politisches Denken,74,0,0,45,16,3,1,0,0,7,2
Astrophysik,74,0,0,10,35,0,18,2,0,6,3
Arbeitsmarktpolitik,74,0,0,27,25,5,3,2,2,9,1
Institutionenökonomie,74,0,0,22,21,8,5,0,3,11,4
Lebensbedingungen,74,0,0,48,10,4,0,1,0,10,1
Wandel,74,0,0,41,10,4,6,3,1,7,2
Bauökologie,73,0,0,21,45,1,2,2,2,0,0
Elektrotechnik,73,0,0,56,9,0,5,3,0,0,0
